Asset,Name,Ticker,Date,Open,High,Low,Close,Volume
AAPL,Apple Inc.,AAPL,2025-08-29,232.0677,232.936,230.9298,231.6984,39418400
AAPL,Apple Inc.,AAPL,2025-09-02,228.8139,230.4108,226.5382,229.283,44075600
AAPL,Apple Inc.,AAPL,2025-09-03,236.7587,238.3956,233.9142,238.0163,66427800
AAPL,Apple Inc.,AAPL,2025-09-04,237.9964,239.4436,236.2896,239.3238,47549400
AAPL,Apple Inc.,AAPL,2025-09-05,239.5434,240.8609,238.0363,239.234,54870400
AAPL,Apple Inc.,AAPL,2025-09-08,238.8448,239.6931,235.8904,237.4275,48999500
AAPL,Apple Inc.,AAPL,2025-09-09,236.5491,238.3257,232.9161,233.9042,66313900
AAPL,Apple Inc.,AAPL,2025-09-10,231.7483,231.9778,225.5202,226.3586,83440800
AAPL,Apple Inc.,AAPL,2025-09-11,226.4484,230.0116,226.2188,229.5924,50208600
AAPL,Apple Inc.,AAPL,2025-09-12,228.7839,234.0639,228.5843,233.6247,55824200
AAPL,Apple Inc.,AAPL,2025-09-15,236.5491,237.7369,234.5829,236.2497,42699500
AAPL,Apple Inc.,AAPL,2025-09-16,236.7288,240.7611,235.8704,237.6969,63421100
AAPL,Apple Inc.,AAPL,2025-09-17,238.5154,239.6432,237.2777,238.5354,46508000
AAPL,Apple Inc.,AAPL,2025-09-18,239.5135,240.7411,236.1998,237.4275,44249600
AAPL,Apple Inc.,AAPL,2025-09-19,240.7711,245.8314,239.753,245.033,163741300
AAPL,Apple Inc.,AAPL,2025-09-22,247.8276,256.1518,247.648,255.5928,105517400
AAPL,Apple Inc.,AAPL,2025-09-23,255.3932,256.8504,253.0976,253.946,60275200
AAPL,Apple Inc.,AAPL,2025-09-24,254.7345,255.2535,250.5624,251.83,42303700
AAPL,Apple Inc.,AAPL,2025-09-25,252.7283,256.6808,251.2311,256.3813,55202100
AAPL,Apple Inc.,AAPL,2025-09-26,253.6166,257.1099,253.2972,254.974,46076300
AAPL,Apple Inc.,AAPL,2025-09-29,254.0757,254.5149,252.5287,253.946,40127700
AAPL,Apple Inc.,AAPL,2025-09-30,254.3752,255.4331,252.6285,254.1456,37704300
AAPL,Apple Inc.,AAPL,2025-10-01,254.5548,258.2977,254.445,254.964,48713900
AAPL,Apple Inc.,AAPL,2025-10-02,256.0919,257.6888,253.6665,256.6408,42630200
AAPL,Apple Inc.,AAPL,2025-10-03,254.1855,258.7468,253.4669,257.5291,49155600
AAPL,Apple Inc.,AAPL,2025-10-06,257.4992,258.5771,254.5648,256.2017,44664100
AAPL,Apple Inc.,AAPL,2025-10-07,256.3215,256.9103,254.9441,255.9921,31955800
AAPL,Apple Inc.,AAPL,2025-10-08,256.032,258.0282,255.6228,257.5691,36496900
AAPL,Apple Inc.,AAPL,2025-10-09,257.3195,257.5092,252.6584,253.5567,38322000
AAPL,Apple Inc.,AAPL,2025-10-10,254.455,255.8923,243.5358,244.8034,61999100
AAPL,Apple Inc.,AAPL,2025-10-13,248.9056,249.215,245.0928,247.1889,38142900
AAPL,Apple Inc.,AAPL,2025-10-14,246.1309,248.3766,244.2345,247.2986,35478000
AAPL,Apple Inc.,AAPL,2025-10-15,249.0154,251.341,246.9992,248.8657,33893600
